team,player,pos,club
Mexico,Mateo Chávez,DF,AZ
Mexico,César Huerta,FW,Anderlecht
Mexico,Guillermo Martínez,FW,Pumas
Mexico,Jesús Gallardo,DF,Toluca
Mexico,Luis Chávez,MF,Dynamo Moscow
Mexico,Roberto Alvarado,FW,Guadalajara
Mexico,Brian Gutiérrez,MF,Guadalajara
South Africa,Ronwen Williams,GK,Mamelodi Sundowns
South Africa,Thabang Matuludi,DF,Polokwane City
South Africa,Khulumani Ndamane,DF,Mamelodi Sundowns
South Africa,Teboho Mokoena,MF,Mamelodi Sundowns
South Africa,Thalente Mbatha,MF,Orlando Pirates
South Africa,Aubrey Modiba,DF,Mamelodi Sundowns
South Africa,Oswin Appollis,FW,Orlando Pirates
South Africa,Tshepang Moremi,FW,Orlando Pirates
South Africa,Lyle Foster,FW,Burnley
South Africa,Relebohile Mofokeng,FW,Orlando Pirates
South Africa,Themba Zwane,MF,Mamelodi Sundowns
South Africa,Thapelo Maseko,FW,AEL Limassol
South Africa,Sphephelo Sithole,MF,Tondela
South Africa,Mbekezeli Mbokazi,DF,Chicago Fire FC
South Africa,Iqraam Rayners,FW,Mamelodi Sundowns
South Africa,Sipho Chaine,GK,Orlando Pirates
South Africa,Evidence Makgopa,FW,Orlando Pirates
South Africa,Samukele Kabini,DF,Molde
South Africa,Nkosinathi Sibisi,DF,Orlando Pirates
South Africa,Khuliso Mudau,DF,Mamelodi Sundowns
South Africa,Ime Okon,DF,Hannover 96
South Africa,Ricardo Goss,GK,Siwelele
South Africa,Jayden Adams,MF,Mamelodi Sundowns
South Africa,Olwethu Makhanya,DF,Philadelphia Union
South Africa,Kamogelo Sebelebele,FW,Orlando Pirates
South Africa,Bradley Cross,DF,Kaizer Chiefs
South Korea,Kim Seung-gyu,GK,FC Tokyo
South Korea,Lee Han-beom,DF,Midtjylland
South Korea,Lee Gi-hyuk,MF,Gangwon FC
South Korea,Kim Min-jae,DF,Bayern Munich
South Korea,Kim Tae-hyeon,DF,Kashima Antlers
South Korea,Hwang In-beom,MF,Feyenoord
South Korea,Son Heung-min,FW,Los Angeles FC
South Korea,Paik Seung-ho,MF,Birmingham City
South Korea,Cho Gue-sung,FW,Midtjylland
South Korea,Lee Jae-sung,MF,Mainz 05
South Korea,Hwang Hee-chan,MF,Wolverhampton Wanderers
South Korea,Song Bum-keun,GK,Jeonbuk Hyundai Motors
South Korea,Lee Tae-seok,DF,Austria Wien
South Korea,Cho Wi-je,DF,Jeonbuk Hyundai Motors
South Korea,Kim Moon-hwan,DF,Daejeon Hana Citizen
South Korea,Park Jin-seob,DF,Zhejiang
South Korea,Bae Jun-ho,MF,Stoke City
South Korea,Oh Hyeon-gyu,FW,Beşiktaş
South Korea,Lee Kang-in,MF,Paris Saint-Germain
South Korea,Yang Hyun-jun,MF,Celtic
South Korea,Jo Hyeon-woo,GK,Ulsan HD
South Korea,Seol Young-woo,DF,Red Star Belgrade
South Korea,Jens Castrop,DF,Borussia Mönchengladbach
South Korea,Kim Jin-gyu,MF,Jeonbuk Hyundai Motors
South Korea,Eom Ji-sung,MF,Swansea City
South Korea,Lee Dong-gyeong,MF,Ulsan HD
Bosnia and Herzegovina,Nikola Vasilj,GK,FC St. Pauli
Bosnia and Herzegovina,Nihad Mujakić,DF,Gaziantep
Bosnia and Herzegovina,Dennis Hadžikadunić,DF,Sampdoria
Bosnia and Herzegovina,Tarik Muharemović,DF,Sassuolo
Bosnia and Herzegovina,Sead Kolašinac,DF,Atalanta
Bosnia and Herzegovina,Benjamin Tahirović,MF,Brøndby
Bosnia and Herzegovina,Amar Dedić,DF,Benfica
Bosnia and Herzegovina,Armin Gigović,MF,Young Boys
Bosnia and Herzegovina,Samed Baždar,FW,Jagiellonia Białystok
Bosnia and Herzegovina,Ermedin Demirović,FW,VfB Stuttgart
Bosnia and Herzegovina,Edin Džeko,FW,Schalke 04
Bosnia and Herzegovina,Mladen Jurkas,GK,Borac Banja Luka
Bosnia and Herzegovina,Ivan Bašić,MF,Astana
Bosnia and Herzegovina,Ivan Šunjić,MF,Pafos
Bosnia and Herzegovina,Amar Memić,MF,Viktoria Plzeň
Bosnia and Herzegovina,Amir Hadžiahmetović,MF,Hull City
Bosnia and Herzegovina,Dženis Burnić,MF,Karlsruher SC
Bosnia and Herzegovina,Nikola Katić,DF,Schalke 04
Bosnia and Herzegovina,Kerim Alajbegović,FW,Red Bull Salzburg
Bosnia and Herzegovina,Esmir Bajraktarević,FW,PSV Eindhoven
Bosnia and Herzegovina,Stjepan Radeljić,DF,Rijeka
Bosnia and Herzegovina,Martin Zlomislić,GK,Rijeka
Bosnia and Herzegovina,Haris Tabaković,FW,Borussia Mönchengladbach
Bosnia and Herzegovina,Nidal Čelik,DF,Lens
Bosnia and Herzegovina,Jovo Lukić,FW,Universitatea Cluj
Bosnia and Herzegovina,Ermin Mahmić,MF,Slovan Liberec
Canada,Dayne St. Clair,GK,Inter Miami CF
Canada,Alistair Johnston,DF,Celtic
Canada,Alfie Jones,DF,Middlesbrough
Canada,Luc de Fougerolles,DF,Dender
Canada,Joel Waterman,DF,Chicago Fire FC
Canada,Mathieu Choinière,MF,Los Angeles FC
Canada,Stephen Eustáquio,MF,Los Angeles FC
Canada,Ismaël Koné,MF,Sassuolo
Canada,Cyle Larin,FW,Southampton
Canada,Jonathan David,FW,Juventus
Canada,Liam Millar,MF,Hull City
Canada,Tani Oluwaseyi,FW,Villarreal
Canada,Derek Cornelius,DF,Rangers
Canada,Jacob Shaffelburg,MF,Los Angeles FC
Canada,Moïse Bombito,DF,Nice
Canada,Maxime Crépeau,GK,Orlando City SC
Canada,Tajon Buchanan,FW,Villarreal
Canada,Owen Goodman,GK,Barnsley
Canada,Alphonso Davies,DF,Bayern Munich
Canada,Ali Ahmed,FW,Norwich City
Canada,Jonathan Osorio,MF,Toronto FC
Canada,Richie Laryea,DF,Toronto FC
Canada,Niko Sigur,DF,Hajduk Split
Canada,Promise David,FW,Union Saint-Gilloise
Canada,Nathan Saliba,MF,Anderlecht
Qatar,Mahmud Abunada,GK,Al-Rayyan
Qatar,Pedro Miguel,DF,Al-Sadd
Qatar,Lucas Mendes,DF,Al-Wakrah
Qatar,Issa Laye,DF,Al-Arabi
Qatar,Jassem Gaber,DF,Al-Rayyan
Qatar,Abdulaziz Hatem,MF,Al-Rayyan
Qatar,Ahmed Alaaeldin,FW,Al-Rayyan
Qatar,Edmilson Junior,FW,Al-Duhail
Qatar,Mohammed Muntari,FW,Al-Gharafa
Qatar,Hassan Al-Haydos,FW,Al-Sadd
Qatar,Akram Afif,FW,Al-Sadd
Qatar,Karim Boudiaf,MF,Al-Duhail
Qatar,Ayoub Al-Oui,DF,Al-Gharafa
Qatar,Homam Ahmed,DF,Cultural Leonesa
Qatar,Yusuf Abdurisag,FW,Al-Wakrah
Qatar,Boualem Khoukhi,DF,Al-Sadd
Qatar,Ahmed Al-Ganehi,MF,Al-Gharafa
Qatar,Sultan Al-Brake,DF,Al-Duhail
Qatar,Almoez Ali,FW,Al-Duhail
Qatar,Ahmed Fathy,MF,Al-Arabi
Qatar,Salah Zakaria,GK,Al-Duhail
Qatar,Meshaal Barsham,GK,Al-Sadd
Qatar,Assim Madibo,MF,Al-Wakrah
Qatar,Tahsin Jamshid,FW,Al-Duhail
Qatar,Al-Hashmi Al-Hussain,DF,Al-Arabi
Qatar,Mohamed Manai,FW,Al-Shamal
Switzerland,Gregor Kobel,GK,Borussia Dortmund
Switzerland,Miro Muheim,DF,Hamburger SV
Switzerland,Silvan Widmer,DF,Mainz 05
Switzerland,Nico Elvedi,DF,Borussia Mönchengladbach
Switzerland,Manuel Akanji,DF,Inter Milan
Switzerland,Denis Zakaria,MF,Monaco
Switzerland,Breel Embolo,FW,Rennes
Switzerland,Remo Freuler,MF,Bologna
Switzerland,Johan Manzambi,MF,SC Freiburg
Switzerland,Granit Xhaka,MF,Sunderland
Switzerland,Dan Ndoye,FW,Nottingham Forest
Switzerland,Yvon Mvogo,GK,Lorient
Switzerland,Ricardo Rodriguez,DF,Real Betis
Switzerland,Ardon Jashari,MF,Milan
Switzerland,Djibril Sow,MF,Sevilla
Switzerland,Christian Fassnacht,FW,Young Boys
Switzerland,Rubén Vargas,FW,Sevilla
Switzerland,Eray Cömert,DF,Valencia
Switzerland,Noah Okafor,FW,Leeds United
Switzerland,Michel Aebischer,MF,Pisa
Switzerland,Marvin Keller,GK,Young Boys
Switzerland,Fabian Rieder,MF,FC Augsburg
Switzerland,Zeki Amdouni,FW,Burnley
Switzerland,Aurèle Amenda,DF,Eintracht Frankfurt
Switzerland,Luca Jaquez,DF,VfB Stuttgart
Switzerland,Cedric Itten,FW,Fortuna Düsseldorf
Brazil,Alisson,GK,Liverpool
Brazil,Wesley,DF,Roma
Brazil,Gabriel Magalhães,DF,Arsenal
Brazil,Marquinhos,DF,Paris Saint-Germain
Brazil,Casemiro,MF,Manchester United
Brazil,Alex Sandro,DF,Flamengo
Brazil,Vinícius Júnior,FW,Real Madrid
Brazil,Bruno Guimarães,MF,Newcastle United
Brazil,Matheus Cunha,FW,Manchester United
Brazil,Neymar,FW,Santos
Brazil,Raphinha,FW,Barcelona
Brazil,Weverton,GK,Grêmio
Brazil,Danilo Luiz,DF,Flamengo
Brazil,Bremer,DF,Juventus
Brazil,Léo Pereira,DF,Flamengo
Brazil,Douglas Santos,DF,Zenit Saint Petersburg
Brazil,Fabinho,MF,Al-Ittihad
Brazil,Danilo Santos,MF,Botafogo
Brazil,Endrick,FW,Lyon
Brazil,Lucas Paquetá,MF,Flamengo
Brazil,Luiz Henrique,FW,Zenit Saint Petersburg
Brazil,Gabriel Martinelli,FW,Arsenal
Brazil,Ederson,GK,Fenerbahçe
Brazil,Roger Ibañez,DF,Al-Ahli
Brazil,Igor Thiago,FW,Brentford
Brazil,Rayan,FW,Bournemouth
Haiti,Johny Placide,GK,Bastia
Haiti,Carlens Arcus,DF,Angers
Haiti,Keeto Thermoncy,DF,Young Boys
Haiti,Ricardo Adé,DF,LDU Quito
Haiti,Hannes Delcroix,DF,Lugano
Haiti,Carl Sainté,MF,El Paso Locomotive FC
Haiti,Derrick Etienne Jr.,FW,Toronto FC
Haiti,Martin Expérience,DF,Nancy
Haiti,Duckens Nazon,FW,Esteghlal
Haiti,Jean-Ricner Bellegarde,MF,Wolverhampton Wanderers
Haiti,Louicius Deedson,FW,FC Dallas
Haiti,Alexandre Pierre,GK,Sochaux
Haiti,Duke Lacroix,DF,Colorado Springs Switchbacks FC
Haiti,Leverton Pierre,MF,Vizela
Haiti,Ruben Providence,FW,Almere City
Haiti,Lenny Joseph,FW,Ferencváros
Haiti,Danley Jean Jacques,MF,Philadelphia Union
Haiti,Wilson Isidor,FW,Sunderland
Haiti,Yassin Fortuné,FW,Vizela
Haiti,Frantzdy Pierrot,FW,Çaykur Rizespor
Haiti,Josué Casimir,FW,Auxerre
Haiti,Jean-Kévin Duverne,DF,Gent
Haiti,Josué Duverger,GK,Cosmos Koblenz
Haiti,Wilguens Paugain,DF,Zulte Waregem
Haiti,Dominique Simon,MF,Tatran Prešov
Haiti,Woodensky Pierre,MF,Violette
Morocco,Yassine Bounou,GK,Al-Hilal
Morocco,Achraf Hakimi,DF,Paris Saint-Germain
Morocco,Noussair Mazraoui,DF,Manchester United
Morocco,Sofyan Amrabat,MF,Real Betis
Morocco,Nayef Aguerd,DF,Marseille
Morocco,Ayyoub Bouaddi,MF,Lille
Morocco,Chemsdine Talbi,MF,Sunderland
Morocco,Azzedine Ounahi,MF,Girona
Morocco,Soufiane Rahimi,FW,Al Ain
Morocco,Brahim Díaz,FW,Real Madrid
Morocco,Ismael Saibari,MF,PSV Eindhoven
Morocco,Munir Mohamedi,GK,RS Berkane
Morocco,Zakaria El Ouahdi,DF,Genk
Morocco,Issa Diop,DF,Fulham
Morocco,Samir El Mourabet,MF,Strasbourg
Morocco,Gessime Yassine,MF,Strasbourg
Morocco,Abde Ezzalzouli,FW,Real Betis
Morocco,Chadi Riad,DF,Crystal Palace
Morocco,Youssef Belammari,DF,Al Ahly
Morocco,Ayoub El Kaabi,FW,Olympiacos
Morocco,Ayoube Amaimouni,FW,Eintracht Frankfurt
Morocco,Ahmed Reda Tagnaouti,GK,AS FAR
Morocco,Bilal El Khannouss,MF,VfB Stuttgart
Morocco,Neil El Aynaoui,MF,Roma
Morocco,Redouane Halhal,DF,Mechelen
Morocco,Anass Salah-Eddine,DF,PSV Eindhoven
Scotland,Angus Gunn,GK,Nottingham Forest
Scotland,Aaron Hickey,DF,Brentford
Scotland,Andy Robertson,DF,Liverpool
Scotland,Scott McTominay,MF,Napoli
Scotland,Grant Hanley,DF,Hibernian
Scotland,Kieran Tierney,DF,Celtic
Scotland,John McGinn,MF,Aston Villa
Scotland,Tyler Fletcher,MF,Manchester United
Scotland,Lyndon Dykes,FW,Charlton Athletic
Scotland,Ché Adams,FW,Torino
Scotland,Ryan Christie,MF,Bournemouth
Scotland,Liam Kelly,GK,Rangers
Scotland,Jack Hendry,DF,Al-Ettifaq
Scotland,Ross Stewart,FW,Southampton
Scotland,John Souttar,DF,Rangers
Scotland,Dominic Hyam,DF,Wrexham
Scotland,Ben Gannon-Doak,FW,Bournemouth
Scotland,George Hirst,FW,Ipswich Town
Scotland,Lewis Ferguson,MF,Bologna
Scotland,Lawrence Shankland,FW,Heart of Midlothian
Scotland,Craig Gordon,GK,Heart of Midlothian
Scotland,Nathan Patterson,DF,Everton
Scotland,Kenny McLean,MF,Norwich City
Scotland,Anthony Ralston,DF,Celtic
Scotland,Findlay Curtis,FW,Kilmarnock
Scotland,Scott McKenna,DF,Dinamo Zagreb
Australia,Mathew Ryan,GK,Levante
Australia,Miloš Degenek,DF,APOEL
Australia,Alessandro Circati,DF,Parma
Australia,Jacob Italiano,DF,Grazer AK
Australia,Jordan Bos,DF,Feyenoord
Australia,Jason Geria,DF,Albirex Niigata
Australia,Mathew Leckie,FW,Melbourne City
Australia,Connor Metcalfe,MF,FC St. Pauli
Australia,Mohamed Touré,FW,Norwich City
Australia,Ajdin Hrustic,FW,Heracles Almelo
Australia,Awer Mabil,FW,Castellón
Australia,Paul Izzo,GK,Randers
Australia,Aiden O'Neill,MF,New York City FC
Australia,Cammy Devlin,MF,Heart of Midlothian
Australia,Kai Trewin,DF,New York City FC
Australia,Aziz Behich,DF,Melbourne City
Australia,Nestory Irankunda,FW,Watford
Australia,Patrick Beach,GK,Melbourne City
Australia,Harry Souttar,DF,Leicester City
Australia,Cristian Volpato,FW,Sassuolo
Australia,Cameron Burgess,DF,Swansea City
Australia,Jackson Irvine,MF,FC St. Pauli
Australia,Nishan Velupillay,FW,Melbourne Victory
Australia,Paul Okon-Engstler,MF,Sydney FC
Australia,Lucas Herrington,DF,Colorado Rapids
Australia,Tete Yengi,FW,Machida Zelvia
Paraguay,Gatito Fernández,GK,Cerro Porteño
Paraguay,Gustavo Velázquez,DF,Cerro Porteño
Paraguay,Omar Alderete,DF,Sunderland
Paraguay,Juan José Cáceres,DF,Dynamo Moscow
Paraguay,Fabián Balbuena,DF,Grêmio
Paraguay,Júnior Alonso,DF,Atlético Mineiro
Paraguay,Ramón Sosa,MF,Palmeiras
Paraguay,Diego Gómez,MF,Brighton & Hove Albion
Paraguay,Antonio Sanabria,FW,Cremonese
Paraguay,Miguel Almirón,MF,Atlanta United FC
Paraguay,Maurício,MF,Palmeiras
Paraguay,Orlando Gill,GK,San Lorenzo
Paraguay,José Canale,DF,Lanús
Paraguay,Andrés Cubas,MF,Vancouver Whitecaps FC
Paraguay,Gustavo Gómez,DF,Palmeiras
Paraguay,Damián Bobadilla,MF,São Paulo
Paraguay,Kaku,FW,Al Ain
Paraguay,Álex Arce,FW,Independiente Rivadavia
Paraguay,Julio Enciso,FW,Strasbourg
Paraguay,Braian Ojeda,MF,Orlando City SC
Paraguay,Gabriel Ávalos,FW,Independiente
Paraguay,Gastón Olveira,GK,Olimpia
Paraguay,Matías Galarza,MF,Atlanta United FC
Paraguay,Gustavo Caballero,MF,Portsmouth
Paraguay,Isidro Pitta,FW,Red Bull Bragantino
Paraguay,Alexandro Maidana,DF,Talleres
Turkey,Mert Günok,GK,Fenerbahçe
Turkey,Zeki Çelik,DF,Roma
Turkey,Merih Demiral,DF,Al-Ahli
Turkey,Çağlar Söyüncü,DF,Fenerbahçe
Turkey,Salih Özcan,MF,Borussia Dortmund
Turkey,Orkun Kökçü,MF,Beşiktaş
Turkey,Kerem Aktürkoğlu,FW,Fenerbahçe
Turkey,Arda Güler,FW,Real Madrid
Turkey,Deniz Gül,FW,Porto
Turkey,Hakan Çalhanoğlu,MF,Inter Milan
Turkey,Kenan Yıldız,FW,Juventus
Turkey,Altay Bayındır,GK,Manchester United
Turkey,Eren Elmalı,DF,Galatasaray
Turkey,Abdülkerim Bardakcı,DF,Galatasaray
Turkey,Ozan Kabak,DF,TSG Hoffenheim
Turkey,İsmail Yüksek,MF,Fenerbahçe
Turkey,İrfan Can Kahveci,FW,Kasımpaşa
Turkey,Mert Müldür,DF,Fenerbahçe
Turkey,Yunus Akgün,FW,Galatasaray
Turkey,Ferdi Kadıoğlu,DF,Brighton & Hove Albion
Turkey,Barış Alper Yılmaz,FW,Galatasaray
Turkey,Kaan Ayhan,MF,Galatasaray
Turkey,Uğurcan Çakır,GK,Galatasaray
Turkey,Oğuz Aydın,FW,Fenerbahçe
Turkey,Samet Akaydin,DF,Çaykur Rizespor
Turkey,Can Uzun,FW,Eintracht Frankfurt
United States,Matt Turner,GK,New England Revolution
United States,Sergiño Dest,DF,PSV Eindhoven
United States,Chris Richards,DF,Crystal Palace
United States,Tyler Adams,MF,Bournemouth
United States,Antonee Robinson,DF,Fulham
United States,Auston Trusty,DF,Celtic
United States,Giovanni Reyna,MF,Borussia Mönchengladbach
United States,Weston McKennie,MF,Juventus
United States,Ricardo Pepi,FW,PSV Eindhoven
United States,Christian Pulisic,FW,Milan
United States,Brenden Aaronson,FW,Leeds United
United States,Miles Robinson,DF,FC Cincinnati
United States,Tim Ream,DF,Charlotte FC
United States,Sebastian Berhalter,MF,Vancouver Whitecaps FC
United States,Cristian Roldan,MF,Seattle Sounders FC
United States,Alex Freeman,DF,Villarreal
United States,Malik Tillman,MF,Bayer Leverkusen
United States,Maximilian Arfsten,DF,Columbus Crew
United States,Haji Wright,FW,Coventry City
United States,Folarin Balogun,FW,Monaco
United States,Timothy Weah,FW,Marseille
United States,Mark McKenzie,DF,Toulouse
United States,Joe Scally,DF,Borussia Mönchengladbach
United States,Matt Freese,GK,New York City FC
United States,Chris Brady,GK,Chicago Fire FC
United States,Alejandro Zendejas,FW,América
Curacao,Eloy Room,GK,Miami FC
Curacao,Shurandy Sambo,DF,Sparta Rotterdam
Curacao,Juriën Gaari,DF,Abha
Curacao,Roshon van Eijma,DF,RKC Waalwijk
Curacao,Sherel Floranus,DF,PEC Zwolle
Curacao,Godfried Roemeratoe,MF,RKC Waalwijk
Curacao,Juninho Bacuna,MF,Volendam
Curacao,Livano Comenencia,MF,Zürich
Curacao,Jürgen Locadia,FW,Miami FC
Curacao,Leandro Bacuna,MF,Iğdır
Curacao,Jeremy Antonisse,FW,Kifisia
Curacao,Sontje Hansen,FW,Middlesbrough
Curacao,Tyrese Noslin,FW,Telstar
Curacao,Kenji Gorré,FW,Maccabi Haifa
Curacao,Ar'jany Martha,MF,Rotherham United
Curacao,Jearl Margaritha,FW,Beveren
Curacao,Brandley Kuwas,FW,Volendam
Curacao,Armando Obispo,DF,PSV Eindhoven
Curacao,Gervane Kastaneer,FW,Terengganu
Curacao,Joshua Brenet,DF,Kayserispor
Curacao,Tahith Chong,MF,Sheffield United
Curacao,Kevin Felida,MF,Den Bosch
Curacao,Riechedly Bazoer,DF,Konyaspor
Curacao,Deveron Fonville,DF,NEC
Curacao,Tyrick Bodak,GK,Telstar
Curacao,Trevor Doornbusch,GK,VVV-Venlo
Ecuador,Hernán Galíndez,GK,Huracán
Ecuador,Félix Torres,DF,Internacional
Ecuador,Piero Hincapié,DF,Arsenal
Ecuador,Joel Ordóñez,DF,Club Brugge
Ecuador,Jordy Alcívar,MF,Independiente del Valle
Ecuador,Willian Pacho,DF,Paris Saint-Germain
Ecuador,Pervis Estupiñán,DF,Milan
Ecuador,Anthony Valencia,MF,Antwerp
Ecuador,John Yeboah,FW,Venezia
Ecuador,Kendry Páez,MF,River Plate
Ecuador,Kevin Rodríguez,FW,Union Saint-Gilloise
Ecuador,Moisés Ramírez,GK,Kifisia
Ecuador,Enner Valencia,FW,Pachuca
Ecuador,Alan Minda,MF,Atlético Mineiro
Ecuador,Pedro Vite,MF,UNAM
Ecuador,Jordy Caicedo,FW,Huracán
Ecuador,Ángelo Preciado,DF,Atlético Mineiro
Ecuador,Denil Castillo,MF,Midtjylland
Ecuador,Gonzalo Plata,FW,Flamengo
Ecuador,Nilson Angulo,FW,Sunderland
Ecuador,Alan Franco,MF,Atlético Mineiro
Ecuador,Gonzalo Valle,GK,LDU Quito
Ecuador,Moisés Caicedo,MF,Chelsea
Ecuador,Jeremy Arévalo,FW,VfB Stuttgart
Ecuador,Jackson Porozo,DF,Tijuana
Ecuador,Yaimar Medina,DF,Genk
Germany,Manuel Neuer,GK,Bayern Munich
Germany,Antonio Rüdiger,DF,Real Madrid
Germany,Waldemar Anton,DF,Borussia Dortmund
Germany,Jonathan Tah,DF,Bayern Munich
Germany,Aleksandar Pavlović,MF,Bayern Munich
Germany,Joshua Kimmich,DF,Bayern Munich
Germany,Kai Havertz,FW,Arsenal
Germany,Leon Goretzka,MF,Bayern Munich
Germany,Jamie Leweling,MF,VfB Stuttgart
Germany,Jamal Musiala,MF,Bayern Munich
Germany,Nick Woltemade,FW,Newcastle United
Germany,Oliver Baumann,GK,TSG Hoffenheim
Germany,Pascal Groß,MF,Brighton & Hove Albion
Germany,Maximilian Beier,FW,Borussia Dortmund
Germany,Nico Schlotterbeck,DF,Borussia Dortmund
Germany,Angelo Stiller,MF,VfB Stuttgart
Germany,Florian Wirtz,MF,Liverpool
Germany,Nathaniel Brown,DF,Eintracht Frankfurt
Germany,Leroy Sané,MF,Galatasaray
Germany,Nadiem Amiri,MF,Mainz 05
Germany,Alexander Nübel,GK,VfB Stuttgart
Germany,David Raum,DF,RB Leipzig
Germany,Felix Nmecha,MF,Borussia Dortmund
Germany,Malick Thiaw,DF,Newcastle United
Germany,Assan Ouédraogo,MF,RB Leipzig
Germany,Deniz Undav,FW,VfB Stuttgart
Ivory Coast,Yahia Fofana,GK,Çaykur Rizespor
Ivory Coast,Ousmane Diomande,DF,Sporting CP
Ivory Coast,Ghislain Konan,DF,Gil Vicente
Ivory Coast,Jean Michaël Seri,MF,Maribor
Ivory Coast,Wilfried Singo,DF,Galatasaray
Ivory Coast,Seko Fofana,MF,Porto
Ivory Coast,Odilon Kossounou,DF,Atalanta
Ivory Coast,Franck Kessié,MF,Al-Ahli
Ivory Coast,Ange-Yoan Bonny,FW,Inter Milan
Ivory Coast,Simon Adingra,FW,Monaco
Ivory Coast,Yan Diomande,FW,RB Leipzig
Ivory Coast,Elye Wahi,FW,Nice
Ivory Coast,Christopher Opéri,DF,İstanbul Başakşehir
Ivory Coast,Oumar Diakité,FW,Cercle Brugge
Ivory Coast,Amad Diallo,FW,Manchester United
Ivory Coast,Mohamed Koné,GK,Charleroi
Ivory Coast,Guéla Doué,DF,Strasbourg
Ivory Coast,Ibrahim Sangaré,MF,Nottingham Forest
Ivory Coast,Nicolas Pépé,FW,Villarreal
Ivory Coast,Emmanuel Agbadou,DF,Beşiktaş
Ivory Coast,Evan Ndicka,DF,Roma
Ivory Coast,Evann Guessand,FW,Crystal Palace
Ivory Coast,Alban Lafont,GK,Panathinaikos
Ivory Coast,Bazoumana Touré,FW,TSG Hoffenheim
Ivory Coast,Parfait Guiagon,MF,Charleroi
Ivory Coast,Christ Inao Oulaï,MF,Trabzonspor
Japan,Zion Suzuki,GK,Parma
Japan,Yukinari Sugawara,DF,Werder Bremen
Japan,Shōgo Taniguchi,DF,Sint-Truiden
Japan,Kō Itakura,DF,Ajax
Japan,Yūto Nagatomo,DF,FC Tokyo
Japan,Wataru Endo,MF,Liverpool
Japan,Ao Tanaka,MF,Leeds United
Japan,Takefusa Kubo,MF,Real Sociedad
Japan,Keisuke Gotō,FW,Sint-Truiden
Japan,Ritsu Dōan,MF,Eintracht Frankfurt
Japan,Daizen Maeda,MF,Celtic
Japan,Keisuke Ōsako,GK,Sanfrecce Hiroshima
Japan,Keito Nakamura,MF,Reims
Japan,Junya Itō,MF,Genk
Japan,Daichi Kamada,MF,Crystal Palace
Japan,Tsuyoshi Watanabe,DF,Feyenoord
Japan,Yuito Suzuki,MF,SC Freiburg
Japan,Ayase Ueda,FW,Feyenoord
Japan,Kōki Ogawa,FW,NEC
Japan,Ayumu Seko,DF,Le Havre
Japan,Hiroki Itō,DF,Bayern Munich
Japan,Takehiro Tomiyasu,DF,Ajax
Japan,Tomoki Hayakawa,GK,Kashima Antlers
Japan,Kaishū Sano,MF,Mainz 05
Japan,Junnosuke Suzuki,DF,Copenhagen
Japan,Kento Shiogai,FW,VfL Wolfsburg
Netherlands,Bart Verbruggen,GK,Brighton & Hove Albion
Netherlands,Jurriën Timber,DF,Arsenal
Netherlands,Marten de Roon,MF,Atalanta
Netherlands,Virgil van Dijk,DF,Liverpool
Netherlands,Nathan Aké,DF,Manchester City
